block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count
131,0,55.55753402093106,2,45
130,0,55.55753402093106,2,45
59,1,49.24678408502007,2,36
173,2,45.3627619437458,2,31
172,2,44.55091728349,2,29
135,3,42.99502041516414,2,34
110,4,34.775178027833185,2,39
127,5,26.61159605748981,2,34
246,6,26.32290385457702,1,26
12,7,18.162591442092122,2,27
33,8,12.136119168362539,2,21
144,9,12.117427086460456,2,21
245,10,8.540468938701773,1,12
146,9,8.522037676687681,2,18
170,11,8.133307200860033,2,15
169,11,8.133307200860033,2,15
95,12,7.892770766439027,2,17
283,13,7.654258588223116,1,11
111,14,7.294194791982148,2,14
145,15,7.0624900330187295,2,16
228,16,6.7826814451164426,2,16
96,17,6.588240184402083,1,10
194,17,6.467920115664339,1,10
204,18,6.335265846589693,2,13
200,11,6.130547137912042,2,12
252,19,5.295958667047213,2,14
57,20,5.281925408190316,2,12
113,14,5.250482127845515,1,10
112,14,5.250482127845515,1,10
34,21,5.244308393488948,2,15
263,22,4.256011493114271,2,13
155,23,4.096934460983098,2,11
37,8,4.087722972991542,2,11
213,24,4.001470403063198,2,12
355,19,3.9889492749651443,1,9
164,25,3.8946730163137335,1,8
176,26,3.7703019010804812,2,18
187,27,3.645624257223175,2,12
240,28,3.3332896698810375,1,9
162,25,3.21875748027338,3,13
147,9,3.090200128201929,1,10
171,23,2.697836330953428,2,9
166,29,2.5657335796726897,2,14
165,29,2.5657335796726897,2,14
226,30,2.271292962864563,1,7
203,31,2.2675205601363175,1,7
221,28,2.258016148779534,1,7
206,32,2.2429305803381436,1,7
234,33,2.228688032633949,1,6
280,14,2.036200347131709,1,6
123,34,1.9983925743637334,2,9
236,33,1.9688783444303777,1,6
268,24,1.938588644450934,1,7
151,35,1.922010535160915,2,8
232,32,1.8677493910005525,1,6
198,13,1.6968605462647384,2,8
271,17,1.64562203149764,1,6
216,36,1.5824568101811183,1,6
32,21,1.556149875486498,2,9
341,23,1.4514576932089063,1,5
209,37,1.3983173509087627,1,5
126,14,1.3078706708577459,1,5
344,13,1.3075769878481431,1,5
220,38,1.2723199904121585,1,5
136,39,1.2080391972153892,1,5
177,17,1.1384716757300106,1,5
199,40,1.1237161302407492,2,7
314,41,0.9378767682792227,1,5
284,38,0.8407195310797628,1,4
124,14,0.8326944250502084,1,4
270,42,0.8114723147081049,1,4
343,43,0.8092469789109686,1,4
274,44,0.7664641490060295,1,4
272,44,0.7664641490060295,1,4
191,45,0.7442288168733575,1,5
309,31,0.741926525676668,2,6
134,46,0.7390056496176731,1,4
89,47,0.7387514238896169,1,4
88,47,0.7387514238896169,1,4
241,9,0.7364346645503286,1,4
218,48,0.7182293244389796,1,4
310,49,0.6992519329341381,1,4
251,27,0.6713615458667386,1,4
230,49,0.6387077212667269,1,4
261,50,0.6173323274523606,1,5
167,51,0.5809582119243112,1,5
192,52,0.5621888425922978,1,4
352,52,0.5568097022169427,1,3
156,21,0.535682669355697,2,5
87,47,0.5245812534076493,2,5
243,53,0.5219205915346989,1,4
