block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count
21,0,0.4468338202631658,1,8
86,1,0.24215862759213974,1,6
44,2,0.2340541129642211,2,8
43,2,0.2340541129642211,2,8
95,3,0.2290655137610562,2,8
99,4,0.18032877591018925,2,7
105,5,0.17676599001352503,1,5
88,6,0.15596148671480706,1,5
87,7,0.11963279443024036,1,5
97,8,0.10366894688626163,2,6
90,9,0.10312327257408938,1,4
109,5,0.081642744755619,1,4
91,7,0.08154131718340163,1,4
98,10,0.08072899889588064,1,4
96,11,0.07352520056508705,2,6
104,12,0.05654415003771697,1,3
94,13,0.052807368353681446,2,6
92,14,0.037860802022040965,1,3
111,15,0.02265562882604396,1,2
101,12,0.01931683445549128,1,2
108,16,0.01921739420537976,1,2
100,12,0.0191612175789444,1,2
103,12,0.01896436458379245,1,2
102,16,0.017944076573317844,1,2
107,16,0.017575479034251135,1,2
106,16,0.017575479034251135,1,2
89,17,0.01578822368399857,1,2
60,18,0.015107294731291769,1,2
