strain,character_state,character_state_annotation
STPY.0321.00217,1,1 copies
STPY.0321.00044,0,0 copies
STPY.0321.00036,0,0 copies
STPY.0321.00054,0,0 copies
STPY.0321.00072,0,0 copies
STPY.0321.00049,0,0 copies
STPY.0321.00165,0,0 copies
STPY.0321.00021,0,0 copies
STPY.0321.00182,0,0 copies
STPY.0321.00027,0,0 copies
STPY.0321.00001,0,0 copies
STPY.0321.00186,1,1 copies
STPY.0321.00105,0,0 copies
STPY.0321.00085,0,0 copies
STPY.0321.00113,0,0 copies
STPY.0321.00090,0,0 copies
STPY.0321.00046,0,0 copies
STPY.0321.00211,1,1 copies
STPY.0321.00215,0,0 copies
STPY.0321.00176,1,1 copies
STPY.0321.00112,0,0 copies
STPY.0321.00196,1,1 copies
STPY.0321.00153,1,1 copies
STPY.0321.00157,1,1 copies
STPY.0321.00083,1,1 copies
STPY.0321.00041,0,0 copies
STPY.0321.00204,0,0 copies
STPY.0321.00143,0,0 copies
STPY.0321.00078,0,0 copies
STPY.0321.00053,0,0 copies
STPY.0321.00138,1,1 copies
STPY.0321.00058,0,0 copies
STPY.0321.00002,0,0 copies
STPY.0321.00210,1,1 copies
STPY.0321.00131,1,1 copies
STPY.0321.00135,0,0 copies
STPY.0321.00191,0,0 copies
STPY.0321.00179,0,0 copies
STPY.0321.00214,1,1 copies
STPY.0321.00152,0,0 copies
STPY.0321.00170,0,0 copies
STPY.0321.00141,0,0 copies
STPY.0321.00218,0,0 copies
STPY.0321.00025,1,1 copies
STPY.0321.00028,1,1 copies
STPY.0321.00175,0,0 copies
STPY.0321.00039,1,1 copies
STPY.0321.00111,0,0 copies
STPY.0321.00007,1,1 copies
STPY.0321.00038,1,1 copies
STPY.0321.00080,0,0 copies
STPY.0321.00104,0,0 copies
STPY.0321.00146,0,0 copies
STPY.0321.00073,0,0 copies
STPY.0321.00203,1,1 copies
STPY.0321.00180,0,0 copies
STPY.0321.00081,0,0 copies
STPY.0321.00124,0,0 copies
STPY.0321.00098,1,1 copies
STPY.0321.00198,1,1 copies
STPY.0321.00019,1,1 copies
STPY.0321.00192,1,1 copies
STPY.0321.00022,0,0 copies
STPY.0321.00013,1,1 copies
STPY.0321.00037,0,0 copies
STPY.0321.00183,0,0 copies
STPY.0321.00047,1,1 copies
STPY.0321.00033,0,0 copies
STPY.0321.00042,0,0 copies
STPY.0321.00160,0,0 copies
STPY.0321.00197,0,0 copies
STPY.0321.00065,1,1 copies
STPY.0321.00099,0,0 copies
STPY.0321.00174,1,1 copies
STPY.0321.00187,0,0 copies
STPY.0321.00178,0,0 copies
STPY.0321.00194,1,1 copies
STPY.0321.00110,0,0 copies
STPY.0321.00150,1,1 copies
STPY.0321.00162,0,0 copies
STPY.0321.00216,1,1 copies
STPY.0321.00118,0,0 copies
STPY.0321.00023,0,0 copies
STPY.0321.00127,0,0 copies
STPY.0321.00048,0,0 copies
STPY.0321.00059,0,0 copies
STPY.0321.00134,1,1 copies
STPY.0321.00172,0,0 copies
STPY.0321.00195,0,0 copies
STPY.0321.00029,1,1 copies
STPY.0321.00120,0,0 copies
STPY.0321.00106,0,0 copies
STPY.0321.00181,1,1 copies
STPY.0321.00101,1,1 copies
STPY.0321.00158,0,0 copies
STPY.0321.00063,0,0 copies
STPY.0321.00193,0,0 copies
STPY.0321.00062,0,0 copies
STPY.0321.00190,0,0 copies
STPY.0321.00125,0,0 copies
STPY.0321.00094,0,0 copies
STPY.0321.00132,1,1 copies
STPY.0321.00057,1,1 copies
STPY.0321.00201,1,1 copies
STPY.0321.00066,1,1 copies
STPY.0321.00079,1,1 copies
STPY.0321.00206,0,0 copies
STPY.0321.00093,0,0 copies
STPY.0321.00213,1,1 copies
STPY.0321.00145,0,0 copies
STPY.0321.00129,1,1 copies
STPY.0321.00074,0,0 copies
STPY.0321.00017,0,0 copies
STPY.0321.00207,1,1 copies
STPY.0321.00060,1,1 copies
STPY.0321.00167,1,1 copies
STPY.0321.00015,0,0 copies
STPY.0321.00123,0,0 copies
STPY.0321.00032,0,0 copies
STPY.0321.00116,0,0 copies
STPY.0321.00115,1,1 copies
STPY.0321.00188,1,1 copies
STPY.0321.00122,0,0 copies
STPY.0321.00103,0,0 copies
STPY.0321.00005,0,0 copies
STPY.0321.00097,1,1 copies
STPY.0321.00003,1,1 copies
STPY.0321.00009,0,0 copies
STPY.0321.00068,0,0 copies
STPY.0321.00102,0,0 copies
STPY.0321.00091,1,1 copies
STPY.0321.00147,0,0 copies
STPY.0321.00006,1,1 copies
STPY.0321.00030,1,1 copies
STPY.0321.00126,0,0 copies
STPY.0321.00061,1,1 copies
STPY.0321.00199,1,1 copies
STPY.0321.00010,0,0 copies
STPY.0321.00109,0,0 copies
STPY.0321.00045,1,1 copies
STPY.0321.00189,0,0 copies
STPY.0321.00148,0,0 copies
STPY.0321.00031,1,1 copies
STPY.0321.00142,1,1 copies
STPY.0321.00164,0,0 copies
STPY.0321.00011,0,0 copies
STPY.0321.00208,0,0 copies
STPY.0321.00055,0,0 copies
STPY.0321.00169,0,0 copies
STPY.0321.00114,0,0 copies
STPY.0321.00095,0,0 copies
STPY.0321.00075,0,0 copies
STPY.0321.00035,0,0 copies
STPY.0321.00177,0,0 copies
STPY.0321.00117,1,1 copies
STPY.0321.00069,1,1 copies
STPY.0321.00012,1,1 copies
STPY.0321.00212,1,1 copies
STPY.0321.00082,0,0 copies
STPY.0321.00077,0,0 copies
STPY.0321.00133,1,1 copies
STPY.0321.00161,0,0 copies
STPY.0321.00151,1,1 copies
STPY.0321.00209,0,0 copies
STPY.0321.00136,0,0 copies
STPY.0321.00121,0,0 copies
STPY.0321.00052,1,1 copies
STPY.0321.00205,0,0 copies
STPY.0321.00155,0,0 copies
STPY.0321.00089,0,0 copies
STPY.0321.00076,0,0 copies
STPY.0321.00108,1,1 copies
STPY.0321.00008,1,1 copies
STPY.0321.00163,0,0 copies
STPY.0321.00050,0,0 copies
STPY.0321.00026,0,0 copies
STPY.0321.00014,0,0 copies
STPY.0321.00040,0,0 copies
STPY.0321.00139,0,0 copies
STPY.0321.00166,1,1 copies
STPY.0321.00173,0,0 copies
STPY.0321.00119,0,0 copies
STPY.0321.00154,1,1 copies
STPY.0321.00088,0,0 copies
STPY.0321.00024,0,0 copies
STPY.0321.00070,0,0 copies
STPY.0321.00100,0,0 copies
STPY.0321.00084,0,0 copies
STPY.0321.00185,1,1 copies
STPY.0321.00034,0,0 copies
STPY.0321.00092,0,0 copies
STPY.0321.00128,1,1 copies
STPY.0321.00149,0,0 copies
STPY.0321.00067,0,0 copies
STPY.0321.00140,0,0 copies
STPY.0321.00087,0,0 copies
STPY.0321.00016,1,1 copies
STPY.0321.00184,0,0 copies
STPY.0321.00056,0,0 copies
STPY.0321.00156,1,1 copies
STPY.0321.00202,0,0 copies
STPY.0321.00168,1,1 copies
STPY.0321.00071,1,1 copies
STPY.0321.00159,0,0 copies
STPY.0321.00144,1,1 copies
STPY.0321.00219,1,1 copies
STPY.0321.00137,1,1 copies
STPY.0321.00130,1,1 copies
STPY.0321.00171,0,0 copies
STPY.0321.00051,1,1 copies
STPY.0321.00004,0,0 copies
STPY.0321.00096,0,0 copies
STPY.0321.00064,0,0 copies
STPY.0321.00018,0,0 copies
STPY.0321.00043,0,0 copies
STPY.0321.00107,0,0 copies
STPY.0321.00200,1,1 copies
STPY.0321.00086,0,0 copies
STPY.0321.00020,0,0 copies
