block,species,chr,chr_beg,chr_end,orientation
217,STPY.0321.00170,1,1161781,1167495,+
217,STPY.0321.00031,1,1177955,1183669,+
216,STPY.0321.00141,1,1099630,1111026,+
216,STPY.0321.00170,1,1130284,1141680,+
216,STPY.0321.00189,1,1083937,1095333,+
216,STPY.0321.00031,1,1129448,1140844,+
215,STPY.0321.00141,1,196223,205316,+
215,STPY.0321.00191,1,185013,194105,+
215,STPY.0321.00170,1,196150,205243,+
215,STPY.0321.00189,1,196142,205235,+
215,STPY.0321.00178,1,183688,192780,+
215,STPY.0321.00031,1,196078,205171,+
214,STPY.0321.00049,1,1799404,1805946,+
214,STPY.0321.00043,1,1743752,1750294,+
213,STPY.0321.00163,1,1765235,1768772,+
213,STPY.0321.00152,1,1716441,1719978,+
212,STPY.0321.00088,1,430609,438020,+
212,STPY.0321.00163,1,430677,438089,+
211,STPY.0321.00156,1,1585589,1599368,+
211,STPY.0321.00191,1,305562,319341,-
211,STPY.0321.00173,1,1508008,1521787,+
210,STPY.0321.00205,1,1648383,1652466,+
210,STPY.0321.00036,1,1137152,1141236,-
210,STPY.0321.00009,1,1103114,1107196,-
210,STPY.0321.00045,1,1065481,1069565,-
209,STPY.0321.00115,1,887541,899178,+
209,STPY.0321.00116,1,1571795,1583431,-
208,STPY.0321.00127,1,1661364,1665030,+
208,STPY.0321.00172,1,1655352,1659024,+
207,STPY.0321.00127,1,1034636,1041354,+
207,STPY.0321.00149,1,804600,810097,-
206,STPY.0321.00127,1,1007322,1026265,+
206,STPY.0321.00149,1,818468,837595,-
205,STPY.0321.00128,1,1820516,1823770,+
205,STPY.0321.00130,1,1820534,1823788,+
205,STPY.0321.00129,1,1820529,1823783,+
205,STPY.0321.00193,1,99446,102701,-
205,STPY.0321.00180,1,1749591,1752666,+
205,STPY.0321.00196,1,1764874,1768128,+
204,STPY.0321.00128,1,1345983,1352115,+
204,STPY.0321.00130,1,1345889,1352021,+
204,STPY.0321.00129,1,1345954,1352086,+
203,STPY.0321.00128,1,1338952,1344183,+
203,STPY.0321.00130,1,1338858,1344089,+
203,STPY.0321.00129,1,1338923,1344154,+
202,STPY.0321.00128,1,1299666,1308294,+
202,STPY.0321.00130,1,1299572,1308200,+
202,STPY.0321.00129,1,1299637,1308265,+
201,STPY.0321.00200,1,1119570,1172014,+
201,STPY.0321.00033,1,1099597,1152042,+
201,STPY.0321.00111,1,1094861,1147307,+
200,STPY.0321.00204,1,117278,125361,+
200,STPY.0321.00164,1,117164,125247,+
199,STPY.0321.00218,1,800431,804340,+
199,STPY.0321.00115,1,900963,904885,+
199,STPY.0321.00205,1,1660696,1664616,+
199,STPY.0321.00116,1,1566088,1570010,-
199,STPY.0321.00036,1,1104419,1108338,-
199,STPY.0321.00009,1,1092960,1096879,-
199,STPY.0321.00045,1,1048352,1052271,-
198,STPY.0321.00218,1,758621,767551,+
198,STPY.0321.00115,1,874155,883088,+
198,STPY.0321.00205,1,1637338,1646274,+
