strain,character_state,character_state_annotation
CP000003,0,edge exists
CP013838,0,edge exists
AE009949,0,edge exists
AM295007,2,parallel edge 72h-8h
CP014138,0,edge exists
CP007537,2,parallel edge 72h-8h
CP013840,0,edge exists
AP014572,0,edge exists
CP010450,0,edge exists
HG316453,0,edge exists
CP014027,2,parallel edge 72h-8h
CP000260,0,edge exists
CP007562,2,parallel edge 72h-8h
CP010449,2,parallel edge 72h-8h
CP007240,0,edge exists
CP000259,0,edge exists
CP014139,2,parallel edge 72h-8h
AE004092,0,edge exists
CP000829,0,edge exists
CP007024,0,edge exists
CP008776,2,parallel edge 72h-8h
CP000262,0,edge exists
CP000261,0,edge exists
CP000056,0,edge exists
CP003116,0,edge exists
CP011535,2,parallel edge 72h-8h
AE014074,0,edge exists
CP013839,0,edge exists
CP007561,2,parallel edge 72h-8h
BA000034,2,parallel edge 72h-8h
AP012335,0,edge exists
CP013672,0,edge exists
CP003068,0,edge exists
CP007241,0,edge exists
CP008926,0,edge exists
CP011068,0,edge exists
AP014585,0,edge exists
CP008695,2,parallel edge 72h-8h
CP015238,0,edge exists
CP003121,0,edge exists
CP006366,0,edge exists
CP003901,0,edge exists
CP012045,2,parallel edge 72h-8h
AP012491,2,parallel edge 72h-8h
CP007041,2,parallel edge 72h-8h
CP011415,0,edge exists
CP007560,0,edge exists
CP000017,0,edge exists
CP009612,0,edge exists
