strain,character_state,character_state_annotation
STPY.0321.00176,0,0 copies
STPY.0321.00181,1,1 copies
STPY.0321.00038,1,1 copies
STPY.0321.00054,1,1 copies
STPY.0321.00021,0,0 copies
STPY.0321.00102,1,1 copies
STPY.0321.00101,1,1 copies
STPY.0321.00059,1,1 copies
STPY.0321.00030,0,0 copies
STPY.0321.00022,1,1 copies
STPY.0321.00050,1,1 copies
STPY.0321.00182,1,1 copies
STPY.0321.00192,0,0 copies
STPY.0321.00217,0,0 copies
STPY.0321.00083,1,1 copies
STPY.0321.00098,0,0 copies
STPY.0321.00148,1,1 copies
STPY.0321.00053,1,1 copies
STPY.0321.00086,1,1 copies
STPY.0321.00163,1,1 copies
STPY.0321.00107,0,0 copies
STPY.0321.00055,1,1 copies
STPY.0321.00201,1,1 copies
STPY.0321.00119,1,1 copies
STPY.0321.00046,1,1 copies
STPY.0321.00057,0,0 copies
STPY.0321.00043,1,1 copies
STPY.0321.00164,1,1 copies
STPY.0321.00200,0,0 copies
STPY.0321.00207,0,0 copies
STPY.0321.00130,0,0 copies
STPY.0321.00090,0,0 copies
STPY.0321.00186,1,1 copies
STPY.0321.00100,1,1 copies
STPY.0321.00158,0,0 copies
STPY.0321.00177,0,0 copies
STPY.0321.00076,1,1 copies
STPY.0321.00170,0,0 copies
STPY.0321.00110,1,1 copies
STPY.0321.00138,1,1 copies
STPY.0321.00020,1,1 copies
STPY.0321.00031,0,0 copies
STPY.0321.00010,0,0 copies
STPY.0321.00004,1,1 copies
STPY.0321.00146,0,0 copies
STPY.0321.00070,1,1 copies
STPY.0321.00091,1,1 copies
STPY.0321.00152,0,0 copies
STPY.0321.00147,1,1 copies
STPY.0321.00045,1,1 copies
STPY.0321.00049,1,1 copies
STPY.0321.00149,1,1 copies
STPY.0321.00131,1,1 copies
STPY.0321.00219,1,1 copies
STPY.0321.00106,0,0 copies
STPY.0321.00023,1,1 copies
STPY.0321.00172,1,1 copies
STPY.0321.00150,0,0 copies
STPY.0321.00014,1,1 copies
STPY.0321.00210,1,1 copies
STPY.0321.00204,1,1 copies
STPY.0321.00183,1,1 copies
STPY.0321.00120,1,1 copies
STPY.0321.00108,0,0 copies
STPY.0321.00153,0,0 copies
STPY.0321.00174,1,1 copies
STPY.0321.00198,0,0 copies
STPY.0321.00117,1,1 copies
STPY.0321.00075,1,1 copies
STPY.0321.00008,0,0 copies
STPY.0321.00065,1,1 copies
STPY.0321.00205,1,1 copies
STPY.0321.00085,1,1 copies
STPY.0321.00123,1,1 copies
STPY.0321.00211,0,0 copies
STPY.0321.00002,0,0 copies
STPY.0321.00154,1,1 copies
STPY.0321.00037,1,1 copies
STPY.0321.00103,1,1 copies
STPY.0321.00194,1,1 copies
STPY.0321.00214,1,1 copies
STPY.0321.00006,0,0 copies
STPY.0321.00111,1,1 copies
STPY.0321.00144,1,1 copies
STPY.0321.00033,1,1 copies
STPY.0321.00084,0,0 copies
STPY.0321.00160,1,1 copies
STPY.0321.00048,1,1 copies
STPY.0321.00141,0,0 copies
STPY.0321.00094,1,1 copies
STPY.0321.00001,1,1 copies
STPY.0321.00213,1,1 copies
STPY.0321.00190,1,1 copies
STPY.0321.00099,1,1 copies
STPY.0321.00092,0,0 copies
STPY.0321.00071,1,1 copies
STPY.0321.00041,1,1 copies
STPY.0321.00066,1,1 copies
STPY.0321.00087,1,1 copies
STPY.0321.00019,1,1 copies
STPY.0321.00079,1,1 copies
STPY.0321.00161,1,1 copies
STPY.0321.00052,1,1 copies
STPY.0321.00036,1,1 copies
STPY.0321.00167,0,0 copies
STPY.0321.00196,0,0 copies
STPY.0321.00072,1,1 copies
STPY.0321.00016,1,1 copies
STPY.0321.00133,0,0 copies
STPY.0321.00081,0,0 copies
STPY.0321.00104,1,1 copies
STPY.0321.00047,1,1 copies
STPY.0321.00151,1,1 copies
STPY.0321.00003,0,0 copies
STPY.0321.00013,0,0 copies
STPY.0321.00011,1,1 copies
STPY.0321.00179,1,1 copies
STPY.0321.00112,1,1 copies
STPY.0321.00139,0,0 copies
STPY.0321.00191,0,0 copies
STPY.0321.00034,1,1 copies
STPY.0321.00135,1,1 copies
STPY.0321.00093,0,0 copies
STPY.0321.00128,0,0 copies
STPY.0321.00029,1,1 copies
STPY.0321.00156,1,1 copies
STPY.0321.00007,0,0 copies
STPY.0321.00118,1,1 copies
STPY.0321.00005,1,1 copies
STPY.0321.00012,1,1 copies
STPY.0321.00197,0,0 copies
STPY.0321.00078,1,1 copies
STPY.0321.00178,0,0 copies
STPY.0321.00209,0,0 copies
STPY.0321.00165,0,0 copies
STPY.0321.00051,1,1 copies
STPY.0321.00218,1,1 copies
STPY.0321.00168,1,1 copies
STPY.0321.00114,1,1 copies
STPY.0321.00195,1,1 copies
STPY.0321.00206,0,0 copies
STPY.0321.00080,1,1 copies
STPY.0321.00027,1,1 copies
STPY.0321.00142,1,1 copies
STPY.0321.00115,1,1 copies
STPY.0321.00028,1,1 copies
STPY.0321.00199,0,0 copies
STPY.0321.00169,0,0 copies
STPY.0321.00097,1,1 copies
STPY.0321.00105,1,1 copies
STPY.0321.00193,0,0 copies
STPY.0321.00124,1,1 copies
STPY.0321.00061,0,0 copies
STPY.0321.00162,1,1 copies
STPY.0321.00060,0,0 copies
STPY.0321.00175,0,0 copies
STPY.0321.00185,1,1 copies
STPY.0321.00116,1,1 copies
STPY.0321.00040,0,0 copies
STPY.0321.00063,1,1 copies
STPY.0321.00042,1,1 copies
STPY.0321.00137,0,0 copies
STPY.0321.00132,1,1 copies
