strain,character_state,character_state_annotation
STPY.0321.00206,0,0 copies
STPY.0321.00075,0,0 copies
STPY.0321.00067,0,0 copies
STPY.0321.00103,0,0 copies
STPY.0321.00105,0,0 copies
STPY.0321.00190,0,0 copies
STPY.0321.00045,0,0 copies
STPY.0321.00167,0,0 copies
STPY.0321.00147,0,0 copies
STPY.0321.00166,1,1 copies
STPY.0321.00173,0,0 copies
STPY.0321.00201,0,0 copies
STPY.0321.00042,0,0 copies
STPY.0321.00215,0,0 copies
STPY.0321.00126,0,0 copies
STPY.0321.00094,0,0 copies
STPY.0321.00088,0,0 copies
STPY.0321.00136,0,0 copies
STPY.0321.00044,0,0 copies
STPY.0321.00129,0,0 copies
STPY.0321.00065,0,0 copies
STPY.0321.00133,0,0 copies
STPY.0321.00106,0,0 copies
STPY.0321.00115,0,0 copies
STPY.0321.00072,0,0 copies
STPY.0321.00082,0,0 copies
STPY.0321.00038,0,0 copies
STPY.0321.00209,0,0 copies
STPY.0321.00140,0,0 copies
STPY.0321.00053,0,0 copies
STPY.0321.00171,0,0 copies
STPY.0321.00191,0,0 copies
STPY.0321.00123,0,0 copies
STPY.0321.00205,0,0 copies
STPY.0321.00026,0,0 copies
STPY.0321.00086,0,0 copies
STPY.0321.00090,0,0 copies
STPY.0321.00160,0,0 copies
STPY.0321.00189,0,0 copies
STPY.0321.00107,0,0 copies
STPY.0321.00051,0,0 copies
STPY.0321.00163,0,0 copies
STPY.0321.00181,0,0 copies
STPY.0321.00183,0,0 copies
STPY.0321.00149,0,0 copies
STPY.0321.00192,0,0 copies
STPY.0321.00081,0,0 copies
STPY.0321.00110,0,0 copies
STPY.0321.00217,0,0 copies
STPY.0321.00154,0,0 copies
STPY.0321.00202,0,0 copies
STPY.0321.00127,0,0 copies
STPY.0321.00200,0,0 copies
STPY.0321.00032,0,0 copies
STPY.0321.00141,0,0 copies
STPY.0321.00037,0,0 copies
STPY.0321.00055,0,0 copies
STPY.0321.00031,0,0 copies
STPY.0321.00144,0,0 copies
STPY.0321.00049,0,0 copies
STPY.0321.00213,0,0 copies
STPY.0321.00168,0,0 copies
STPY.0321.00002,0,0 copies
STPY.0321.00016,0,0 copies
STPY.0321.00057,0,0 copies
STPY.0321.00137,0,0 copies
STPY.0321.00101,0,0 copies
STPY.0321.00003,0,0 copies
STPY.0321.00194,0,0 copies
STPY.0321.00097,0,0 copies
STPY.0321.00007,0,0 copies
STPY.0321.00178,0,0 copies
STPY.0321.00078,0,0 copies
STPY.0321.00151,0,0 copies
STPY.0321.00155,0,0 copies
STPY.0321.00079,0,0 copies
STPY.0321.00146,0,0 copies
STPY.0321.00092,0,0 copies
STPY.0321.00186,0,0 copies
STPY.0321.00069,0,0 copies
STPY.0321.00014,0,0 copies
STPY.0321.00187,0,0 copies
STPY.0321.00156,0,0 copies
STPY.0321.00073,0,0 copies
STPY.0321.00152,0,0 copies
STPY.0321.00188,0,0 copies
STPY.0321.00117,0,0 copies
STPY.0321.00161,0,0 copies
STPY.0321.00091,0,0 copies
STPY.0321.00028,0,0 copies
STPY.0321.00121,0,0 copies
STPY.0321.00064,0,0 copies
STPY.0321.00066,0,0 copies
