assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name_x,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,strain,orig_name,to_annotate,gsize,nb_conts,L90,file,asm_name_y,name_no_strain,label
GCF_000743015.1,PRJNA224116,SAMN02905033,,,na,,1314,1314,Streptococcus pyogenes,strain=ATCC 19615,,latest,Complete Genome,Major,Full,2014/08/22,ASM74301v1,Los Alamos National Laboratory,GCA_000743015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/015/GCF_000743015.1_ASM74301v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000743015.1/GCF_000743015.1_ASM74301v1_genomic.fna.gz,STPY.0321.00002,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000743015.1_ASM74301v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000743015.1_ASM74301v1_genomic.fna_prepare-split125N.fna,1844804,1,1,GCF_000743015.1_ASM74301v1_genomic.fna_prepare-split125N.fna,ASM74301v1,ATCC 19615,Streptococcus pyogenes ATCC 19615
GCF_000756485.1,PRJNA224116,SAMN02800743,,,na,,1314,1314,Streptococcus pyogenes,strain=M23ND,,latest,Complete Genome,Major,Full,2014/09/22,ASM75648v1,University of Notre Dame,GCA_000756485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/485/GCF_000756485.1_ASM75648v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000756485.1/GCF_000756485.1_ASM75648v1_genomic.fna.gz,STPY.0321.00006,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000756485.1_ASM75648v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000756485.1_ASM75648v1_genomic.fna_prepare-split125N.fna,1846477,1,1,GCF_000756485.1_ASM75648v1_genomic.fna_prepare-split125N.fna,ASM75648v1,M23ND,Streptococcus pyogenes M23ND
GCF_000767505.1,PRJNA224116,SAMN02644974,,,na,,1314,1314,Streptococcus pyogenes,strain=7F7,,latest,Complete Genome,Major,Full,2014/10/20,ASM76750v1,University Rennes1,GCA_000767505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/505/GCF_000767505.1_ASM76750v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000767505.1/GCF_000767505.1_ASM76750v1_genomic.fna.gz,STPY.0321.00010,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000767505.1_ASM76750v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000767505.1_ASM76750v1_genomic.fna_prepare-split125N.fna,1709790,1,1,GCF_000767505.1_ASM76750v1_genomic.fna_prepare-split125N.fna,ASM76750v1,7F7,Streptococcus pyogenes 7F7
GCF_000772185.1,PRJNA224116,SAMN02980885,,,na,,1314,1314,Streptococcus pyogenes,strain=HKU360,,latest,Complete Genome,Major,Full,2014/11/05,ASM77218v1,University of Queensland,GCA_000772185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/185/GCF_000772185.1_ASM77218v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000772185.1/GCF_000772185.1_ASM77218v1_genomic.fna.gz,STPY.0321.00012,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000772185.1_ASM77218v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000772185.1_ASM77218v1_genomic.fna_prepare-split125N.fna,1944537,1,1,GCF_000772185.1_ASM77218v1_genomic.fna_prepare-split125N.fna,ASM77218v1,HKU360,Streptococcus pyogenes HKU360
GCF_000772245.1,PRJNA224116,SAMN02649402,,,na,,1314,1314,Streptococcus pyogenes,strain=1E1,,latest,Complete Genome,Major,Full,2014/11/05,ASM77224v1,University Rennes1,GCA_000772245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/245/GCF_000772245.1_ASM77224v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000772245.1/GCF_000772245.1_ASM77224v1_genomic.fna.gz,STPY.0321.00015,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000772245.1_ASM77224v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000772245.1_ASM77224v1_genomic.fna_prepare-split125N.fna,1796152,1,1,GCF_000772245.1_ASM77224v1_genomic.fna_prepare-split125N.fna,ASM77224v1,1E1,Streptococcus pyogenes 1E1
GCF_000993765.1,PRJNA224116,SAMN02716635,,,na,,1314,1314,Streptococcus pyogenes,strain=AP1,,latest,Complete Genome,Major,Full,2015/05/07,ASM99376v1,COMBACTE,GCA_000993765.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/993/765/GCF_000993765.1_ASM99376v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_000993765.1/GCF_000993765.1_ASM99376v1_genomic.fna.gz,STPY.0321.00004,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000993765.1_ASM99376v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000993765.1_ASM99376v1_genomic.fna_prepare-split125N.fna,1908294,1,1,GCF_000993765.1_ASM99376v1_genomic.fna_prepare-split125N.fna,ASM99376v1,AP1,Streptococcus pyogenes AP1
GCF_001014305.1,PRJNA224116,SAMN03610015,,,na,,1314,1314,Streptococcus pyogenes,strain=D471,,latest,Complete Genome,Major,Full,2015/05/28,ASM101430v1,Washington University School of Medicine,GCA_001014305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/014/305/GCF_001014305.1_ASM101430v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001014305.1/GCF_001014305.1_ASM101430v1_genomic.fna.gz,STPY.0321.00008,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001014305.1_ASM101430v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001014305.1_ASM101430v1_genomic.fna_prepare-split125N.fna,1811968,1,1,GCF_001014305.1_ASM101430v1_genomic.fna_prepare-split125N.fna,ASM101430v1,D471,Streptococcus pyogenes D471
GCF_001019635.1,PRJNA224116,SAMN02715744,,,na,,1314,1314,Streptococcus pyogenes,strain=NGAS743,,latest,Complete Genome,Major,Full,2015/06/03,ASM101963v1,Public Health Ontario,GCA_001019635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/019/635/GCF_001019635.1_ASM101963v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001019635.1/GCF_001019635.1_ASM101963v1_genomic.fna.gz,STPY.0321.00017,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001019635.1_ASM101963v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001019635.1_ASM101963v1_genomic.fna_prepare-split125N.fna,1915554,1,1,GCF_001019635.1_ASM101963v1_genomic.fna_prepare-split125N.fna,ASM101963v1,NGAS743,Streptococcus pyogenes NGAS743
GCF_001019675.1,PRJNA224116,SAMN02715758,,,na,,1314,1314,Streptococcus pyogenes,strain=NGAS596,,latest,Complete Genome,Major,Full,2015/06/03,ASM101967v1,Public Health Ontario,GCA_001019675.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/019/675/GCF_001019675.1_ASM101967v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001019675.1/GCF_001019675.1_ASM101967v1_genomic.fna.gz,STPY.0321.00019,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001019675.1_ASM101967v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001019675.1_ASM101967v1_genomic.fna_prepare-split125N.fna,1791306,1,1,GCF_001019675.1_ASM101967v1_genomic.fna_prepare-split125N.fna,ASM101967v1,NGAS596,Streptococcus pyogenes NGAS596
GCF_001019695.1,PRJNA224116,SAMN02715759,,,na,,1314,1314,Streptococcus pyogenes,strain=NGAS327,,latest,Complete Genome,Major,Full,2015/06/03,ASM101969v1,Public Health Ontario,GCA_001019695.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/019/695/GCF_001019695.1_ASM101969v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001019695.1/GCF_001019695.1_ASM101969v1_genomic.fna.gz,STPY.0321.00021,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001019695.1_ASM101969v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001019695.1_ASM101969v1_genomic.fna_prepare-split125N.fna,1702054,1,1,GCF_001019695.1_ASM101969v1_genomic.fna_prepare-split125N.fna,ASM101969v1,NGAS327,Streptococcus pyogenes NGAS327
