Genome,Length
STPY.0321.00072,1851396
STPY.0321.00071,1892466
STPY.0321.00070,1842823
STPY.0321.00079,1878827
STPY.0321.00080,1816007
STPY.0321.00062,1851869
STPY.0321.00061,1890204
STPY.0321.00082,1800116
STPY.0321.00057,1893171
STPY.0321.00067,1790938
STPY.0321.00065,1893034
STPY.0321.00066,1939844
STPY.0321.00064,1810248
STPY.0321.00077,1907743
STPY.0321.00101,1834762
STPY.0321.00102,1806314
STPY.0321.00108,1900555
STPY.0321.00103,1835714
STPY.0321.00109,1747924
STPY.0321.00105,1758778
STPY.0321.00087,1790668
STPY.0321.00097,1809631
STPY.0321.00089,1812090
STPY.0321.00075,1837587
STPY.0321.00083,1899479
STPY.0321.00086,1950616
STPY.0321.00085,1806521
STPY.0321.00094,1768816
STPY.0321.00096,1788166
STPY.0321.00093,1826832
STPY.0321.00091,1826467
STPY.0321.00217,1899746
STPY.0321.00219,1837758
STPY.0321.00213,1831123
STPY.0321.00216,1892119
STPY.0321.00197,1895012
STPY.0321.00203,1836432
STPY.0321.00218,1828132
STPY.0321.00204,1928217
STPY.0321.00199,1900516
STPY.0321.00110,1914829
STPY.0321.00200,1899872
STPY.0321.00099,1887700
STPY.0321.00051,1946258
STPY.0321.00198,1894270
STPY.0321.00128,1897111
STPY.0321.00033,1801696
STPY.0321.00130,1897129
STPY.0321.00129,1897124
STPY.0321.00127,1862424
STPY.0321.00208,1750827
STPY.0321.00068,1851612
STPY.0321.00050,1811936
STPY.0321.00201,1838557
STPY.0321.00056,1853613
STPY.0321.00133,1921448
STPY.0321.00134,1808384
STPY.0321.00078,1852256
STPY.0321.00132,1906873
STPY.0321.00115,2010300
STPY.0321.00001,1741977
STPY.0321.00053,1862449
STPY.0321.00090,1825427
STPY.0321.00202,1897571
STPY.0321.00048,1765118
STPY.0321.00113,1741938
STPY.0321.00114,1742160
STPY.0321.00121,1747400
STPY.0321.00137,1921169
STPY.0321.00161,1751353
STPY.0321.00007,1900003
STPY.0321.00205,1937076
STPY.0321.00131,1831274
STPY.0321.00147,1793034
STPY.0321.00126,1859391
STPY.0321.00098,1789855
STPY.0321.00116,1832676
STPY.0321.00156,1898595
STPY.0321.00187,1823047
STPY.0321.00120,1854597
STPY.0321.00100,1806344
STPY.0321.00032,1878693
STPY.0321.00195,1852428
STPY.0321.00084,1779766
STPY.0321.00215,1818346
STPY.0321.00148,1805495
STPY.0321.00104,1764969
STPY.0321.00171,1785401
STPY.0321.00003,1893816
STPY.0321.00162,1931144
STPY.0321.00160,1752074
STPY.0321.00142,1864452
STPY.0321.00063,1890349
STPY.0321.00107,1797172
STPY.0321.00140,1808407
STPY.0321.00073,1853805
STPY.0321.00125,1909430
STPY.0321.00123,1865571
STPY.0321.00136,1744145
STPY.0321.00194,1819777
STPY.0321.00145,1845052
STPY.0321.00059,1846342
STPY.0321.00135,1862643
STPY.0321.00151,1796043
STPY.0321.00005,1852980
STPY.0321.00206,1827305
STPY.0321.00139,1756406
STPY.0321.00143,1768863
STPY.0321.00176,1913208
STPY.0321.00088,1888806
STPY.0321.00163,1906305
STPY.0321.00174,1795272
STPY.0321.00037,1852894
STPY.0321.00153,1838787
STPY.0321.00044,1709389
STPY.0321.00164,1829590
STPY.0321.00060,1756622
STPY.0321.00166,1908146
STPY.0321.00192,1834173
STPY.0321.00193,1858169
STPY.0321.00154,1827653
STPY.0321.00055,1890460
STPY.0321.00155,1746380
