strain,character_state,character_state_annotation
STPY.0321.00120,3,inversion with 125t-22t
STPY.0321.00034,0,adjacency exists
STPY.0321.00136,3,inversion with 125t-22t
STPY.0321.00173,0,adjacency exists
STPY.0321.00074,3,inversion with 125t-22t
STPY.0321.00191,3,inversion with 125t-22t
STPY.0321.00202,0,adjacency exists
STPY.0321.00096,0,adjacency exists
STPY.0321.00044,0,adjacency exists
STPY.0321.00039,3,inversion with 125t-22t
STPY.0321.00042,0,adjacency exists
STPY.0321.00101,3,inversion with 125t-22t
STPY.0321.00121,0,adjacency exists
STPY.0321.00160,0,adjacency exists
STPY.0321.00129,0,adjacency exists
STPY.0321.00051,3,inversion with 125t-22t
STPY.0321.00196,3,inversion with 125t-22t
STPY.0321.00089,0,adjacency exists
STPY.0321.00113,0,adjacency exists
STPY.0321.00022,3,inversion with 125t-22t
STPY.0321.00069,0,adjacency exists
STPY.0321.00131,3,inversion with 125t-22t
STPY.0321.00118,3,inversion with 125t-22t
STPY.0321.00004,3,inversion with 125t-22t
STPY.0321.00009,3,inversion with 125t-22t
STPY.0321.00178,0,adjacency exists
STPY.0321.00075,3,inversion with 125t-22t
STPY.0321.00157,3,inversion with 125t-22t
STPY.0321.00198,3,inversion with 125t-22t
STPY.0321.00085,3,inversion with 125t-22t
STPY.0321.00108,3,inversion with 125t-22t
STPY.0321.00119,3,inversion with 125t-22t
STPY.0321.00024,3,inversion with 125t-22t
STPY.0321.00148,0,adjacency exists
STPY.0321.00200,0,adjacency exists
STPY.0321.00128,0,adjacency exists
STPY.0321.00138,3,inversion with 125t-22t
STPY.0321.00053,0,adjacency exists
STPY.0321.00123,0,adjacency exists
STPY.0321.00106,0,adjacency exists
STPY.0321.00122,0,adjacency exists
STPY.0321.00036,3,inversion with 125t-22t
STPY.0321.00102,0,adjacency exists
STPY.0321.00083,0,adjacency exists
STPY.0321.00164,0,adjacency exists
STPY.0321.00017,0,adjacency exists
STPY.0321.00132,3,inversion with 125t-22t
STPY.0321.00199,0,adjacency exists
STPY.0321.00065,3,inversion with 125t-22t
STPY.0321.00061,3,inversion with 125t-22t
STPY.0321.00144,0,adjacency exists
STPY.0321.00142,3,inversion with 125t-22t
STPY.0321.00163,3,inversion with 125t-22t
STPY.0321.00182,0,adjacency exists
STPY.0321.00216,3,inversion with 125t-22t
STPY.0321.00169,0,adjacency exists
STPY.0321.00067,0,adjacency exists
STPY.0321.00190,3,inversion with 125t-22t
STPY.0321.00174,0,adjacency exists
STPY.0321.00219,0,adjacency exists
STPY.0321.00126,0,adjacency exists
STPY.0321.00099,3,inversion with 125t-22t
STPY.0321.00064,0,adjacency exists
STPY.0321.00177,3,inversion with 125t-22t
STPY.0321.00181,0,adjacency exists
STPY.0321.00146,3,inversion with 125t-22t
STPY.0321.00137,0,adjacency exists
STPY.0321.00027,0,adjacency exists
STPY.0321.00014,0,adjacency exists
STPY.0321.00040,0,adjacency exists
STPY.0321.00020,0,adjacency exists
STPY.0321.00155,3,inversion with 125t-22t
STPY.0321.00197,0,adjacency exists
STPY.0321.00045,0,adjacency exists
STPY.0321.00031,0,adjacency exists
STPY.0321.00112,0,adjacency exists
STPY.0321.00030,0,adjacency exists
STPY.0321.00107,3,inversion with 125t-22t
STPY.0321.00183,0,adjacency exists
STPY.0321.00145,0,adjacency exists
STPY.0321.00184,3,inversion with 125t-22t
STPY.0321.00043,3,inversion with 125t-22t
STPY.0321.00209,0,adjacency exists
STPY.0321.00176,3,inversion with 125t-22t
STPY.0321.00130,0,adjacency exists
STPY.0321.00114,0,adjacency exists
STPY.0321.00185,0,adjacency exists
STPY.0321.00097,0,adjacency exists
STPY.0321.00003,3,inversion with 125t-22t
STPY.0321.00186,3,inversion with 125t-22t
STPY.0321.00073,3,inversion with 125t-22t
STPY.0321.00050,0,adjacency exists
STPY.0321.00032,3,inversion with 125t-22t
STPY.0321.00207,0,adjacency exists
STPY.0321.00002,0,adjacency exists
STPY.0321.00028,0,adjacency exists
STPY.0321.00127,3,inversion with 125t-22t
STPY.0321.00153,1,complex break of adjacency
STPY.0321.00070,3,inversion with 125t-22t
STPY.0321.00171,0,adjacency exists
STPY.0321.00211,0,adjacency exists
STPY.0321.00193,0,adjacency exists
STPY.0321.00166,3,inversion with 125t-22t
STPY.0321.00066,0,adjacency exists
STPY.0321.00213,3,inversion with 125t-22t
STPY.0321.00046,0,adjacency exists
STPY.0321.00175,0,adjacency exists
STPY.0321.00206,0,adjacency exists
STPY.0321.00179,4,inversion with 126t-22t
STPY.0321.00195,0,adjacency exists
STPY.0321.00021,3,inversion with 125t-22t
STPY.0321.00218,3,inversion with 125t-22t
STPY.0321.00054,3,inversion with 125t-22t
STPY.0321.00109,3,inversion with 125t-22t
STPY.0321.00084,3,inversion with 125t-22t
STPY.0321.00007,3,inversion with 125t-22t
STPY.0321.00041,3,inversion with 125t-22t
STPY.0321.00057,3,inversion with 125t-22t
STPY.0321.00189,0,adjacency exists
STPY.0321.00134,3,inversion with 125t-22t
STPY.0321.00048,0,adjacency exists
STPY.0321.00201,0,adjacency exists
STPY.0321.00080,0,adjacency exists
STPY.0321.00095,0,adjacency exists
STPY.0321.00079,0,adjacency exists
STPY.0321.00037,0,adjacency exists
STPY.0321.00156,0,adjacency exists
STPY.0321.00006,3,inversion with 125t-22t
STPY.0321.00038,3,inversion with 125t-22t
STPY.0321.00205,0,adjacency exists
STPY.0321.00100,3,inversion with 125t-22t
STPY.0321.00180,3,inversion with 125t-22t
STPY.0321.00013,3,inversion with 125t-22t
STPY.0321.00151,3,inversion with 125t-22t
STPY.0321.00111,3,inversion with 125t-22t
STPY.0321.00110,0,adjacency exists
STPY.0321.00117,3,inversion with 125t-22t
STPY.0321.00076,3,inversion with 125t-22t
STPY.0321.00170,0,adjacency exists
STPY.0321.00072,3,inversion with 125t-22t
STPY.0321.00115,0,adjacency exists
STPY.0321.00135,3,inversion with 125t-22t
STPY.0321.00217,0,adjacency exists
STPY.0321.00005,0,adjacency exists
STPY.0321.00124,3,inversion with 125t-22t
STPY.0321.00152,0,adjacency exists
STPY.0321.00094,0,adjacency exists
STPY.0321.00086,0,adjacency exists
STPY.0321.00015,0,adjacency exists
STPY.0321.00116,0,adjacency exists
STPY.0321.00103,0,adjacency exists
STPY.0321.00212,0,adjacency exists
STPY.0321.00056,3,inversion with 125t-22t
STPY.0321.00125,0,adjacency exists
STPY.0321.00026,0,adjacency exists
STPY.0321.00149,0,adjacency exists
STPY.0321.00187,0,adjacency exists
STPY.0321.00063,0,adjacency exists
STPY.0321.00147,3,inversion with 125t-22t
STPY.0321.00016,0,adjacency exists
STPY.0321.00033,0,adjacency exists
STPY.0321.00192,0,adjacency exists
STPY.0321.00035,0,adjacency exists
STPY.0321.00214,0,adjacency exists
STPY.0321.00058,3,inversion with 125t-22t
STPY.0321.00188,3,inversion with 125t-22t
STPY.0321.00162,0,adjacency exists
STPY.0321.00087,3,inversion with 125t-22t
STPY.0321.00203,0,adjacency exists
STPY.0321.00047,3,inversion with 125t-22t
STPY.0321.00158,0,adjacency exists
STPY.0321.00018,0,adjacency exists
STPY.0321.00025,3,inversion with 125t-22t
STPY.0321.00088,3,inversion with 125t-22t
STPY.0321.00139,5,inversion with 5h-22t
STPY.0321.00023,3,inversion with 125t-22t
STPY.0321.00055,0,adjacency exists
STPY.0321.00019,3,inversion with 125t-22t
STPY.0321.00133,0,adjacency exists
STPY.0321.00172,3,inversion with 125t-22t
STPY.0321.00143,0,adjacency exists
STPY.0321.00141,0,adjacency exists
STPY.0321.00194,0,adjacency exists
STPY.0321.00011,0,adjacency exists
STPY.0321.00140,0,adjacency exists
STPY.0321.00081,0,adjacency exists
STPY.0321.00010,0,adjacency exists
STPY.0321.00029,3,inversion with 125t-22t
STPY.0321.00001,0,adjacency exists
STPY.0321.00068,3,inversion with 125t-22t
STPY.0321.00165,0,adjacency exists
STPY.0321.00092,0,adjacency exists
STPY.0321.00167,3,inversion with 125t-22t
